text,created_at,location
RT @Kefera: @iwantkefera ,Mon Sep 30 19:02:02 +0000 2013,
RT @sunnyright: Reid says he will only accept getting everything he wants Media to explain how that Republicans are uncompromising #Harry…,Mon Sep 30 19:02:02 +0000 2013,
la carne es dbil,Mon Sep 30 19:02:02 +0000 2013,
are up not its so in find was out your out out to out of just,Mon Sep 30 19:02:02 +0000 2013,
28 usurios que eu sigo no me seguem de volta no Twitter Saiba quem no te segue de volta http://tco/vV05jRldI5,Mon Sep 30 19:02:02 +0000 2013,
Banane plantin poisson grill,Mon Sep 30 19:02:02 +0000 2013,
@alo_marie Your looking forward to seeing me,Mon Sep 30 19:02:02 +0000 2013,
Andreina ta aquii,Mon Sep 30 19:02:02 +0000 2013,
RT @Naqaa92: Hi October :: shlonek :D,Mon Sep 30 19:02:02 +0000 2013,
RT @TheCarlosPena: @TWC thanks for making me wait 3 months for nada #happymonday,Mon Sep 30 19:02:02 +0000 2013,
@serge1777                   ,Mon Sep 30 19:02:02 +0000 2013,
@luke_loiz wicked You didn't by any chance get one in the afternoon too did you,Mon Sep 30 19:02:02 +0000 2013,
I thought Katy was going darker with Prism but it looks like its the opposite,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @CFD_Trading_DE: Kostenlose zeitlich unbegrenzte Demo-Tradingplattform http://tco/zInAw8fVqi   #Plus500 #Aktien #Forex #Indizes #Rohsto…,
RT @trkialsbte:      ‹› (      )     ‹,Mon Sep 30 19:02:02 +0000 2013,
time to go on my run ,Mon Sep 30 19:02:02 +0000 2013,
com http://tco/QnuLT6WbCq,Mon Sep 30 19:02:02 +0000 2013,
vhs #pokemon,Mon Sep 30 19:02:02 +0000 2013,
RT @Akunsindir: Kalo pacar loe ngambek gara-gara loe kecentilan ya wajar aja Tandanya dia cemburu ngerti,Mon Sep 30 19:02:02 +0000 2013,
Dominican Republic Revokes Citizenship For Haitian Children http://tco/DSlBKB0U4h,Mon Sep 30 19:02:02 +0000 2013,
          ,Mon Sep 30 19:02:02 +0000 2013,
      :         (        )  ,Mon Sep 30 19:02:02 +0000 2013,
RT @JocelynCarbon_: Les profs qui veulent rattraper une heure de cours parce-qu'ils taient absent &lt;&lt;&lt;&lt; WSH T'ES PAS LA T'ES PAS LA  CASSE…,Mon Sep 30 19:02:02 +0000 2013,
@Sra_Bieber01 Es tu culpa xD,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @ElGatoRomantico: 15 maneras de quemar caloras Rpido y fcil http://tco/D3MBouyjlX - sp,
@CharleyyGirl @Davidjames_M NOT GOOD X,Mon Sep 30 19:02:02 +0000 2013,
Ohlala ya trop de " putain " dans mes tweets faut que je me calme l ,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @chunyoon0530: [130608~130609 GG World Tour in Seoul Update] /  2       ^^ http://tco/mwQzV4PJwu http…,
         ,Mon Sep 30 19:02:02 +0000 2013,
El otro dia voy a buscar a agustin y sale franco tenian que ver mi cara de orgasmo jajajajaajjajaja es muy hermoso,Mon Sep 30 19:02:02 +0000 2013,
DANCE TIME,Mon Sep 30 19:02:02 +0000 2013,
Que onda el horoscopo,Mon Sep 30 19:02:02 +0000 2013,
Yes @Demskeeblaze: Can you double date #QnA",Mon Sep 30 19:02:02 +0000 2013,
RT @Muchedumbre30s: Lunes 30 de septiembre circula con El Telgrafo DVD de #muchedumbre nueva edicin subtitulada al ingls y francs,Mon Sep 30 19:02:02 +0000 2013,
RT @_cgibb: Get better with time And time is forever,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @GOP: @SpeakerBoehner called out the absent Senate saying we are facing a budget emergency http://tco/NPZofwobER #senatemustact,
12 #KCAARGENTINA #MARTINASTOESSEL,Mon Sep 30 19:02:02 +0000 2013,
@avonsdxisy ikr,Mon Sep 30 19:02:02 +0000 2013,
RT @ourtomlinson:  #rt per un indiretto sull'abbinamento icon-intestazione ((seguimi e ti seguo)) 5,Mon Sep 30 19:02:02 +0000 2013,
@j_filosa c'est qui le no1  St-Louis ,Mon Sep 30 19:02:02 +0000 2013,
@Gabriela_Isa29 Noo,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @1Dliveupdates: soft louis in perth aw http://tco/ROYX5U1tnB,
no electricity and im on one bar :(,Mon Sep 30 19:02:02 +0000 2013,
Mon Sep 30 19:02:02 +0000 2013,RT @TheTumblrPosts: have you ever wondered this http://tco/poBssJCp0u,
RT @idekdemetria: rt for an indirect,Mon Sep 30 19:02:02 +0000 2013,
You just think that I’m full of it We both come from backgrounds of bullshit I’m fortunate that ain't what you see in me,Mon Sep 30 19:02:02 +0000 2013,
RT @TURKISHJCAT: @UnionJ9191 what a nice acc  lots of loves ,Mon Sep 30 19:02:02 +0000 2013,
Some kid at my school got suspended BC he was wearing a shirt that said "Beach don't kill my vibe" LMAO @ YOU,Mon Sep 30 19:02:02 +0000 2013,
@RT_Erdogan #ubatta5binNGLZCEatamastiyoruz,Mon Sep 30 19:02:02 +0000 2013,
@onlyforthem_ normal tu va me voir ^^&lt;3,Mon Sep 30 19:02:02 +0000 2013,
RT @Dellialshallah:                    :')     …,Mon Sep 30 19:02:02 +0000 2013,
 II  http://tco/jpuMeb7vV7,Mon Sep 30 19:02:02 +0000 2013,
RT @_skinyyyy: 3 more mins ,Mon Sep 30 19:02:02 +0000 2013,
http://tco/9CJ1pSYMZu  123 flash menu 4 1 5 1400,Mon Sep 30 19:02:02 +0000 2013,
RT @rosac123: @GenPenaloza DOBLE NACIONALIDAD de Maduro cobra fuerza en la FANB Veo POCOS lderes apoyando denuncia @walter_marquez+@hcapr…,Mon Sep 30 19:02:02 +0000 2013,
RT @Adamin85: Okej offside men @LindgrenOrtiz det dr var vl en idiot-rddning av Stam #killensomintegrsdanaenligtOscari08fotboll,Mon Sep 30 19:02:02 +0000 2013,
Ses comme quand jete,Mon Sep 30 19:02:02 +0000 2013,
Fall is a good time to “fall back” into fitness  http://tco/PNnmXXAoiw http://tco/q5u9971MCO,Mon Sep 30 19:02:02 +0000 2013,
Today stats: One follower One unfollower via http://tco/Ot8vSMmvZz,Mon Sep 30 19:02:02 +0000 2013,
@niai07 :) that Faggot,Mon Sep 30 19:02:02 +0000 2013,
@_ronq      ,Mon Sep 30 19:02:02 +0000 2013,
Stalkeamos ,Mon Sep 30 19:02:02 +0000 2013,
RT @amormalahe: Ella se fue esperando que l la detuviera y l la dejo ir esperando que ella regresara,Mon Sep 30 19:02:02 +0000 2013,
 9/30 4:05  6 -9 #countkun @KAIMeim,Mon Sep 30 19:02:02 +0000 2013,
RT @drr_alklaam:                   -  ,Mon Sep 30 19:02:02 +0000 2013,
