Text,WeekDay,Month,Day,Time,+SMT,Year,Location,Language,Followers_count,Friends_count
,mon,sep,30,19:02:02,+0000,2013,,ja,61,141
work from home like i do. make your own hours your own scheduleand make as much  or as little as you wish httpt.co8rttbnsiug,mon,sep,30,19:02:02,+0000,2013,florida,en,46214,48061
u only have to wait till tomorro night so no hints this time,mon,sep,30,19:02:02,+0000,2013,?ire,en,236,557
                     ,mon,sep,30,19:02:02,+0000,2013,  -kuwait k278,en,875,191
since im so needy,mon,sep,30,19:02:02,+0000,2013,2 2 beckley,en,597,354
sydney_i_      ..       d,mon,sep,30,19:02:02,+0000,2013,cairo  egypt,en,702,220
condo living in scarborough just got even better httpt.coabbrgmfwtf,mon,sep,30,19:02:02,+0000,2013,ontario canada,en,5016,1843
rt olumidesadams count all the nouns around u rt its_t_raw music maybebeebeeauta how can i come off this boredom ,mon,sep,30,19:02:02,+0000,2013,,en,1361,1025
its_meknee i know its so sad  all i know is that he has not made any progress. hes still hasnt woken up.,mon,sep,30,19:02:02,+0000,2013,ig  xoxomiggy,en,164,152
httpt.coautmvotgc4    httpt.coautmvotgc4,mon,sep,30,19:02:02,+0000,2013,,ru,0,34
(            ) [93],mon,sep,30,19:02:02,+0000,2013,,ar,290,288
rt joshujworld guys i want you to be the first to know that ive got some big news...im going to be a daddy longleg killer this winter..…,mon,sep,30,19:02:02,+0000,2013,,en,2112,1634
rt therealmikeepps chuck norris can sneeze with his eyes open  eppsie,mon,sep,30,19:02:02,+0000,2013,on the couch ,en,45,64
rt xjohngoodman catelinanderson ill be your ocean if you be my boat  ,mon,sep,30,19:02:02,+0000,2013,everywhere ,en,32,52
   ,mon,sep,30,19:02:02,+0000,2013,,ar,121,173
estoy limpiando para recibir visitas a mi casa,mon,sep,30,19:02:02,+0000,2013,,es,86,96
im marking my tweets with uv ink to guard against tweet tweft.,mon,sep,30,19:02:02,+0000,2013,not far from london,en,273,161
alice in chains en chile puertas se abrir?n a las 19.30 ---gthttpt.co0kcflpancw,mon,sep,30,19:02:02,+0000,2013,santiago chile,es,379591,12260
         . ,mon,sep,30,19:02:02,+0000,2013,,ar,734,184
john mcafee onthult oplossing tegen nsa httpt.corzmtam2dys securityxl nieuws,mon,sep,30,19:02:02,+0000,2013,netherlands,nl,571,1
lfcash1990 can you screenshot that error for us jn,mon,sep,30,19:02:02,+0000,2013,redmond wa,en,31953,13
my mam wont let me go to bed cos she doesnt like going out in the dark on her own ,mon,sep,30,19:02:02,+0000,2013,hull,en,718,1157
httpt.coznynlzd4iv,mon,sep,30,19:02:02,+0000,2013,,en,25,143
