Text,WeekDay,Month,Day,Time,+SMT,Year,Location,Language,Followers_count,Friends_count
rt palomaazcona youre the only one that i want,mon,sep,30,19:02:06,+0000,2013,aranjuez(madrid) ,es,319,234
rt tasmin_thomas i get no sympathy when im ill,mon,sep,30,19:02:06,+0000,2013,,en,551,252
taryu_bothz ,mon,sep,30,19:02:06,+0000,2013,,th,575,59
the fact that the custodian wears a mask while walking through school is a bit concerning,mon,sep,30,19:02:06,+0000,2013,seattle ,en,135,577
deutsche bahn bahnfahren wird ab dezember teurer httpt.coydpfzfplkd,mon,sep,30,19:02:06,+0000,2013,,de,283,378
rania_2m         ),mon,sep,30,19:02:06,+0000,2013,jeddah,ar,117,281
ma?ana es octubre no quiero que sea octubre,mon,sep,30,19:02:06,+0000,2013,neverland,es,298,355
  envy for men httpt.cohaynbojnqc,mon,sep,30,19:02:06,+0000,2013,,ja,2061,2266
rt zlaja4fnkie marko jari potpisao za bruklin koje maije koristi ovee,mon,sep,30,19:02:06,+0000,2013,3.sprat,en,106,106
flaviinha_3 pevensielorrana cade vcs pestes lt3 to com pregui?a de escrever no whats,mon,sep,30,19:02:06,+0000,2013,,pt,53,80
rt alisaguar uh httpt.coanjaidyyei,mon,sep,30,19:02:06,+0000,2013,por mi madrid.,es,123,104
uoeno,mon,sep,30,19:02:06,+0000,2013,,en,104,74
…,mon,sep,30,19:02:06,+0000,2013,,ja,711,732
mercheebm jajajajajajajajajaja es de el mu?equito que te dan en el mcdonald el minioon,mon,sep,30,19:02:06,+0000,2013,fan numero 1 de los protegidos,es,742,531
yahootf httpt.codhwmqhnsyx    sougofollow ,mon,sep,30,19:02:06,+0000,2013,,ja,1351,1546
tondellieugenia o in un posto sperduto sulladda il 10 o a padova l11,mon,sep,30,19:02:06,+0000,2013,modena italy,it,95,124
quiero quiero quiero quiero quiero mmm no se que quierooo jajaja,mon,sep,30,19:02:06,+0000,2013,,es,18,33
rt _fumarcagando el suicidio permanece aunque est? escondido.,mon,sep,30,19:02:06,+0000,2013,barcelona bitches,es,200,129
rt rccgworldwide tweet and retweet the word of god. everyone can reach somebody and together we can reach the world.  retweet,mon,sep,30,19:02:06,+0000,2013,lagosnigeria,en,92,201
rt ciaranmullooly gardai say a man has been charged amp will appear before a sitting of the district court tomorrow in connection with seri…,mon,sep,30,19:02:06,+0000,2013,dublin,en,4384,2412
oh gpp yang sabrinadwimanda aggyfaturochman iya sayang kenapa,mon,sep,30,19:02:06,+0000,2013,kuningan,en,212,186
-     .     ,mon,sep,30,19:02:06,+0000,2013,,ru,77,74
liamo290 yes,mon,sep,30,19:02:06,+0000,2013,ireland.,en,203,147
aujourdhui coralie elle a trouver mon secret comme sa o j ?tait choqu?e ,mon,sep,30,19:02:06,+0000,2013,paris ,fr,1030,876
wrhttpt.cou2pkbojcrb wr iidx,mon,sep,30,19:02:06,+0000,2013,,ja,207,404
delficarlino re limpita. la m?a est? toda verde sucia fea,mon,sep,30,19:02:06,+0000,2013,argentina.,es,957,953
hahahaa..rt sianakmami takut kemacetan jakarta om ) rt ariegokilzs1 gak bs ninggalin kampung ... httpt.cobxcoikbgj2,mon,sep,30,19:02:06,+0000,2013,bandar lampung,id,691,670
rt giangimura ottoemezzo franceschini berlusconi ha fatto qualcosa che non fosse per il suo tornaconto del paese se ne impippa. capit…,mon,sep,30,19:02:06,+0000,2013,,it,1004,1033
-       -       porsche cayenne,mon,sep,30,19:02:06,+0000,2013,,ru,2388,564
retour des fictions fran?aises du lundi soir sur tf1... enfin,mon,sep,30,19:02:06,+0000,2013,troyes  courdemanges,fr,64,474
et biiiiiiiim 8,mon,sep,30,19:02:06,+0000,2013,,fr,195,78
rt nofah00                beer,mon,sep,30,19:02:06,+0000,2013,,ar,679,978
c?t? match jsuis trop un haineux pour y jouer m?me si jperd un billet bleu jaurais lseum,mon,sep,30,19:02:06,+0000,2013,pas localisable,en,109,67
qex8_  555555555555555555555555555,mon,sep,30,19:02:06,+0000,2013,somewhere,en,191,275
rt _carollanger minha m?e tem celular pra merda nenhuma tb n?o atende aquela bosta,mon,sep,30,19:02:06,+0000,2013,cwbala ,pt,195,168
“jeniferchampion pit for taylor swift in london is being sold along with the rest of the tickets. just fyi )” hellorianne rhaea_,mon,sep,30,19:02:06,+0000,2013,london,en,120,53
le_noblea2v bah putain  prudhommes direct  lol,mon,sep,30,19:02:06,+0000,2013,batoufam -- 92 izi,fr,137,106
rt rovvi          ( . httpt.cocct2kjn4,mon,sep,30,19:02:06,+0000,2013,,ar,138,251
emlovelaii ouch studio is 10 am every wednesday and friday for me,mon,sep,30,19:02:06,+0000,2013,valdosta,en,170,198
httpt.co2fikwb8eop,mon,sep,30,19:02:06,+0000,2013,,ja,2868,2698
davidson garrett diehl was named fcs honorable mention kick returner performer of the week by college football performance awards wcnc,mon,sep,30,19:02:06,+0000,2013,charlotte,en,541,478
eu sou uma pessoa que admito que gosto de funk,mon,sep,30,19:02:06,+0000,2013,porto xavier - rs,pt,394,259
headlessgang what you mean you run the city nigga you have no choice you have no car ,mon,sep,30,19:02:06,+0000,2013,seek yourself before others .,en,1670,1655
a novel approach to fleet telematics. vnomics creates virtual in-cab coach to help drivers maximize fuel economy httpt.coyoklc0gdyc,mon,sep,30,19:02:06,+0000,2013,,en,110,174
so do is but your and rt and be of when we on this to this that when you i are my when for just i in they up it can this get your this,mon,sep,30,19:02:06,+0000,2013,,en,0,0
rt revoarinfo crak_neymar littleboyls mayarains melhorvibe pena que pararam de seguir _familialuans quer dizer por qu? httpt.co…,mon,sep,30,19:02:06,+0000,2013,baixada santista,pt,77,20
noticias tiran en el senado aplazamiento de obamacare httpt.cot7lqayqhto oaxaca,mon,sep,30,19:02:06,+0000,2013,oaxaca m?xico,es,6102,3809
zynpkulaklk h anlalan hala triplisin tmm,mon,sep,30,19:02:06,+0000,2013,,tr,7333,488
lozzieeannxo what no,mon,sep,30,19:02:06,+0000,2013,rugby,en,194,202
ljohnson_28 luke dont lie i have banter coming out my ear holes,mon,sep,30,19:02:06,+0000,2013,corby,en,578,474
dad is sicing me w subway before practice ,mon,sep,30,19:02:06,+0000,2013,,en,573,212
null 404040404044444444444,mon,sep,30,19:02:06,+0000,2013,                    ,ja,1996,1995
rt coliegestudent i already want to take a nap tomorrow,mon,sep,30,19:02:06,+0000,2013,florida,en,227,255
out one not be i up i but was if are not so this not just when when,mon,sep,30,19:02:06,+0000,2013,,en,0,0
,mon,sep,30,19:02:06,+0000,2013,,ja,157,520
daianyys2s2 httpst.cobp3tuzbprd,mon,sep,30,19:02:06,+0000,2013, s?o paulo,pt,1000,355
[],mon,sep,30,19:02:06,+0000,2013,,ja,238,259
itsmagdey ich hoffe einfach nicht sonst w?re es sehr sehr doof cc xd,mon,sep,30,19:02:06,+0000,2013,norwich england by choice,de,147,191
httpt.co5w1fze0xcv jomsocial 2 4 2  ,mon,sep,30,19:02:06,+0000,2013,,ru,0,0
rt 9195km ma m?re tellement fi?re que sa photo soit ma pp facebook. la voil? qui me demande tas combien de jaime pousse pas le bouch…,mon,sep,30,19:02:06,+0000,2013,,fr,237,126
rt drugdelrey dying  httpt.co2zh4ybbzwl,mon,sep,30,19:02:06,+0000,2013,king on the beach,en,1253,1412
james_yammouni aw wifey beau cute,mon,sep,30,19:02:06,+0000,2013,,en,3616,3440
rt mr_snifc its called life rt fable_chubb science rt lavrelilita_ so its ayt for niggas to cheat but when chicks do that they are b…,mon,sep,30,19:02:06,+0000,2013,,en,2277,1617
armani auction armani exchange a x. new mens large polo shirtrugbynwtlmuscle fit httpt.cof2yixr6r2u,mon,sep,30,19:02:06,+0000,2013,,en,2,11
rt sassyfrank   ,mon,sep,30,19:02:06,+0000,2013,-,ru,18,79
wtff wie ooh wie loopt mij te bellen,mon,sep,30,19:02:06,+0000,2013,,nl,183,239
 -                  ,mon,sep,30,19:02:06,+0000,2013,--,ru,121,135
javoue aujourdhui jai pas beaucoup calculer pauline.. demain je vais la tuer de bisous ,mon,sep,30,19:02:06,+0000,2013,torreviejabailly,fr,199,153
cest dr?le ces filles inexp?riment?es qui portent des talons pour la premi?re fois les voir marcher me fait penser ? quand bambi est n?,mon,sep,30,19:02:06,+0000,2013,beauvais zup.,fr,127,84
raisacoreschi1 niall_0fficcial who doesnt love junk food ),mon,sep,30,19:02:06,+0000,2013,under sicily malta,en,18,38
rt de_plei_vois tamra e juebe se da e dinerojbino ala juebe ere la juevetamra ...jbino juebe suelta suisidatlari caya suisidio…,mon,sep,30,19:02:06,+0000,2013,,ca,103,103
rt guycodes chuck norris popped a molly the molly started sweating.,mon,sep,30,19:02:06,+0000,2013,northfield nj,en,66,58
“eu sempre tenho aquela impress?o de que nunca serei suficiente para ningu?m”,mon,sep,30,19:02:06,+0000,2013,,pt,821,827
i have a bobble stuck in my hair please help,mon,sep,30,19:02:06,+0000,2013,14 fff,en,1875,928
minhajakreyi novadaban yekbuns hevallo they go to these schools bcs public schools are shit,mon,sep,30,19:02:06,+0000,2013,germany,de,385,599
photo recap of siskiyou challenge relay 2013. who are those standing stone employees in dresses httpt.con9hgsoyhof,mon,sep,30,19:02:06,+0000,2013,ashland oregon,en,1203,153
okamihime ehhh t pas tranquille mdrrrrrr ,mon,sep,30,19:02:06,+0000,2013,marseille,fr,165,117
pessima hora pra internet ficar ruim,mon,sep,30,19:02:06,+0000,2013,floripa,en,170,77
katiitas si ese es mi sue?o ,mon,sep,30,19:02:06,+0000,2013,uio,es,761,531
windows phone se acerca al 10% de cuota en europa httpt.coulbg8prkc6,mon,sep,30,19:02:06,+0000,2013,buenos aires argentina,es,499,718
ive been so happy lately for no reason at all lovinlife,mon,sep,30,19:02:06,+0000,2013,louisianaaa,en,430,192
6mix (347) sm21490361 httpt.cohajh4v1kbh,mon,sep,30,19:02:06,+0000,2013,,ja,243,140
niall_ihavefood ur right bby,mon,sep,30,19:02:06,+0000,2013,,nl,4796,3810
itsminebieber segue de volta  kcaargentina beautyandabeat,mon,sep,30,19:02:06,+0000,2013,twispack,pt,4469,2897
asianpursuazion yea i gotta work tonight too. what ab tomorrow,mon,sep,30,19:02:06,+0000,2013,,en,1228,420
somhibird   1 1 2 1 1 15....  ,mon,sep,30,19:02:06,+0000,2013,admin,th,52,128
    b        o  b .,mon,sep,30,19:02:06,+0000,2013,,ar,250,271
          albesheere,mon,sep,30,19:02:06,+0000,2013,,ar,64,50
piensacree sue?a y atr?vete ,mon,sep,30,19:02:06,+0000,2013,,es,340,809
neyse okurken bi ka? ?lgn bilgi edindim. bunlardan biri i?lerinde mimar bi kadn var. illegal m?cadeleye ge?erken sokak eitmeni varm,mon,sep,30,19:02:06,+0000,2013,ankara(›),en,1756,235
    httpt.co9zgcqxvfin,mon,sep,30,19:02:06,+0000,2013,,en,0,0
westland tekoop  mooie messing staande lampset met melkglas kap httpt.covaa0yc7o5t,mon,sep,30,19:02:06,+0000,2013,westland,en,611,469
iammrclearwater allblackaffair out showing love last night clean fresh flyshit salute httpt.cog0wcfp8ttx,mon,sep,30,19:02:06,+0000,2013,tampa florida,en,401,335
       (  )...      (  ) -,mon,sep,30,19:02:06,+0000,2013,,ar,1,6
rt souljaboy jackiechan,mon,sep,30,19:02:06,+0000,2013,thethrone,en,289,122
 httpt.coeuvvpmvla0,mon,sep,30,19:02:06,+0000,2013,,ja,2316,2493
la idea de tener un ejercito de palomas no me gusta eh ikerhervas29  jajaja,mon,sep,30,19:02:06,+0000,2013,,es,188,261
bora subir essa tag que vale a pena galera  gtgtgt euamodeusporque,mon,sep,30,19:02:06,+0000,2013,minas gerais brasil,pt,122,301
dollicious__ thanks for the visit.,mon,sep,30,19:02:06,+0000,2013,new delhi,en,71,154
_loyaltynlove_ bitch bye,mon,sep,30,19:02:06,+0000,2013,-6,en,2255,1561
rt efrasesversos ? t?o meu esse teu sorriso. (joe jonas),mon,sep,30,19:02:06,+0000,2013,pasadena ca,pt,2321,17
                    ,mon,sep,30,19:02:06,+0000,2013,  ,en,70,72
[[]](?`),mon,sep,30,19:02:06,+0000,2013,,ja,343,262
rt epdannyedge wake up,mon,sep,30,19:02:06,+0000,2013,wherever im needed,en,1104,1999
maybe there are no good people maybe there are only good decisions httpt.copglcumgsyc via wordpressdotcom,mon,sep,30,19:02:06,+0000,2013,vellore | delhi ,en,101,221
diamondflorai saben que es caminar desde parque aragua hasta la av ayacucho??? no,mon,sep,30,19:02:06,+0000,2013,venezuela.,es,858,442
httpt.colkpcko9uwq    ,mon,sep,30,19:02:06,+0000,2013,,en,2,9
    ,mon,sep,30,19:02:06,+0000,2013,alfaiha-bnaider267,en,747,182
espesilvera oyee no se te olvide ma?ana la pulsera ehh ,mon,sep,30,19:02:06,+0000,2013,,es,160,442
othersideonce can though. overall i bet shell have the best story lines and etc. its been that way for the last 2 seasons so...,mon,sep,30,19:02:06,+0000,2013,la la land,en,189,237
deja de mandar mensaje amor jajajaja como te amo yami_desveglia,mon,sep,30,19:02:06,+0000,2013,rosario - vivo en-amorado,es,446,436
tearsofdespair_ [ donde tengo que ir entonces. ],mon,sep,30,19:02:06,+0000,2013,donde big sis koizumi este.,es,38,35
final de ano vou pedir minha m?e,mon,sep,30,19:02:06,+0000,2013,ibira?u - esp?rito santo,pt,159,67
rt ireneruizpavon lauracorrealca ritmica10 mi hija ser? as? httpt.covdzkz0j4md,mon,sep,30,19:02:06,+0000,2013,la palma del condado,es,372,404
risks and benefits of sharing a bed httpt.co1omthvd41w,mon,sep,30,19:02:06,+0000,2013,pevely mo,en,4,9
rt avtvmn qu? me gusta el asiento del bus que no tiene a nadie al lado pero s? delante una barra para que t? pongas los pies y te despata…,mon,sep,30,19:02:06,+0000,2013,sevilla spain,es,131,137
               ( .,mon,sep,30,19:02:06,+0000,2013,jeddah,en,496,432
que aburrimientooo tngoo chiquillooo,mon,sep,30,19:02:06,+0000,2013,san fernando,es,492,323
pues espero que hoy wawawiwa3 consiga dormir d,mon,sep,30,19:02:06,+0000,2013,,es,101,117
lightsstyles seguindo,mon,sep,30,19:02:06,+0000,2013,na cama do styles,pt,538,43
rt aguerosergiokun qu? tal me ven como periodista entrevistando a messi para mundoleodxtv can anyone picture me interviewing messi ht…,mon,sep,30,19:02:06,+0000,2013, argentina,es,284,179
im at big mammas w elfakgn httpt.co6bvoxoaa31,mon,sep,30,19:02:06,+0000,2013,stanbul,tr,144,140
el truco est? en hablar menos y demostrar mas.,mon,sep,30,19:02:06,+0000,2013,,es,138,451
i hate door knobs.,mon,sep,30,19:02:06,+0000,2013,blono yo,en,119,174
4w,mon,sep,30,19:02:06,+0000,2013,,ja,60,75
rt racionaisdlz nunca mudou nem nunca mudar?.,mon,sep,30,19:02:06,+0000,2013,,pt,155,124
ele me faz t?o feliz e me sinto t?o bem ao lado dele )),mon,sep,30,19:02:06,+0000,2013,,pt,1251,1092
riverplatecom  no van a habilitar todo el estadio ,mon,sep,30,19:02:06,+0000,2013,,es,34,78
private sector furloughing 10+ years now...its about time govt caught up to the eco slowdown cspanwj cspanchat,mon,sep,30,19:02:06,+0000,2013,,en,145,192
lace_marc y not,mon,sep,30,19:02:06,+0000,2013,,en,453,220
rt booth26hail        ,mon,sep,30,19:02:06,+0000,2013,,ar,1,7
cindy_allison jajaja en mi caso mehagoelloco con los testigos de jehova xd,mon,sep,30,19:02:06,+0000,2013,lima ,es,168,1505
rt lynda_sherazade avec maitrgims meugiwaranooo httpt.co8wfabmj2oa,mon,sep,30,19:02:06,+0000,2013,,fr,177,532
j’ai publi? une nouvelle photo sur facebook httpt.coc9vsshtwl5,mon,sep,30,19:02:06,+0000,2013,coutras,fr,4,6
rt jcisland_ we got ms.fowl as our substitute  httpt.cohyf18o8omf,mon,sep,30,19:02:06,+0000,2013,,en,907,887
a2msays hahah it is new thing im nt in a mood somewhere something is disturbing me.but dont knw wats thatt..,mon,sep,30,19:02:06,+0000,2013,,en,380,332
la campera era blanca quedo toda marr?n. sos un asco.,mon,sep,30,19:02:06,+0000,2013,arrecifes - buenos aires,es,486,437
httpt.co1vbudwbwqw    scarface,mon,sep,30,19:02:06,+0000,2013,,en,2,2
rt gazgshore if your ever feeling down or wanting cheered up just look at this photo... gets me every time httpt.cos7c1g7nqg7,mon,sep,30,19:02:06,+0000,2013,,en,647,588
gevalia mocha latte mix httpt.coi25enlmop2,mon,sep,30,19:02:06,+0000,2013,,en,11,118
yta ipr ,mon,sep,30,19:02:06,+0000,2013,,es,364,116
el sabado pasado fue la primera vez despues de mucho tiempo que no gaste casi nadaaa,mon,sep,30,19:02:06,+0000,2013,,es,293,798
_imaria_ hahah d,mon,sep,30,19:02:06,+0000,2013,in ur heart,sv,1216,1159
berubah ,mon,sep,30,19:02:06,+0000,2013,,id,185,414
me encanta mi nuevo gym,mon,sep,30,19:02:06,+0000,2013,,es,32,43
hannibal remember when no one helped will graham yeah us too. httpt.coe2w3e3qae1 via httpt.coeifxbrzhnt httpt.codvch39vasy,mon,sep,30,19:02:06,+0000,2013,,en,89,191
rt zberm on birds eye view -- chip kelly sticking with alex henery httpt.cobg0ecjd5tx,mon,sep,30,19:02:06,+0000,2013,philadelphia,en,28600,168
s2 marienfelde-priesterweg noch bis 11.11. (mo) 130 uhrersatzverkehr mit bussen. infos unter httpt.coeslrvxqous,mon,sep,30,19:02:06,+0000,2013,berlin und brandenburg,de,15218,11596
 ”   httpt.co4rd7oup7dy,mon,sep,30,19:02:06,+0000,2013,,ja,17946,18097
henderpie yeah all the videos are back ),mon,sep,30,19:02:06,+0000,2013,• 16 o2l • 47 sdk •,en,8602,2763
  5 490        httpt.cokqum2qjgdd iphone iphonegames gameinsight,mon,sep,30,19:02:06,+0000,2013,,ru,0,10
meu irm?aaao morreu acho n?o da sinal de vida desde quintaaaaaaaaaa,mon,sep,30,19:02:06,+0000,2013,,pt,84,67
when i was a little girl i used to have a problem with fire something tough.,mon,sep,30,19:02:06,+0000,2013,i dont give a fuck avenue,en,215,217
rt aylinozkir gmzeyrtklsi  kahrolsun 10 g?n devamszlk ddd,mon,sep,30,19:02:06,+0000,2013,,tr,423,339
rccgworldwide before u talk listen. before u react think. before u criticize pause. before u jump look. before u give up try again.,mon,sep,30,19:02:06,+0000,2013,abuja nigeria,en,11,54
rt zodiacohoy acuario no te metas en cosas que no sabes ya que podr?as quedar muy mal parado y esto perjudicarte demasiado ten mucho cu…,mon,sep,30,19:02:06,+0000,2013,buenos aires argentina,es,170,350
call_meh_dee the funny thing about hurt people is they tend to hurt people. just  me,mon,sep,30,19:02:06,+0000,2013,down the rabbit hole,en,233,141
freak of nature scientists discover a different kind of hermaphrodite (pics) httpt.cooxgqo9g8ka via 411vibes,mon,sep,30,19:02:06,+0000,2013,lagos • owerri • asaba.,en,26872,274
sab6277 cest pas grave tant que ?a reste le m?me mec p,mon,sep,30,19:02:06,+0000,2013,strasbourg,fr,2328,212
do people that stink know that they stink,mon,sep,30,19:02:06,+0000,2013,203  ct .,en,139,198
yonomeexplico muy cierto,mon,sep,30,19:02:06,+0000,2013,,es,264,1910
caalvin_m euh 5euros ) mais pour de vrai hein virgin ..,mon,sep,30,19:02:06,+0000,2013,farrels heart,fr,613,456
i feel so stupid..,mon,sep,30,19:02:06,+0000,2013,kansas,en,231,963
rt venkatdabbu ad krishna dist 1st week gs ni 4 days lo lepesindi.,mon,sep,30,19:02:06,+0000,2013,hyderabad,en,41,43
lo conosco demaciado jaja,mon,sep,30,19:02:06,+0000,2013,,es,171,219
powerhouse nov. 2nd tho,mon,sep,30,19:02:06,+0000,2013,msu15,en,759,639
bad decision,mon,sep,30,19:02:06,+0000,2013,watfordtaunton,en,673,227
cant wait to go home and not do shit at all.,mon,sep,30,19:02:06,+0000,2013,bowling green ky,en,1005,752
puee_orizon  ,mon,sep,30,19:02:06,+0000,2013,,ja,88,52
pornstyles nobodymalik w0nderl0u paro gente,mon,sep,30,19:02:06,+0000,2013,pedro lari dl? lais ,pt,7607,6968
rt yosoymamon hay personas que es mejor perderlas.,mon,sep,30,19:02:06,+0000,2013,,es,190,95
    httpt.cogpv6gbn035,mon,sep,30,19:02:06,+0000,2013,  ,ru,5,4
timitchy ?,mon,sep,30,19:02:06,+0000,2013,,ja,895,631
zodiacupdates cewek libra paling pintar berkelit dari masalah. mereka pintar menjaga hubungan pembawa kedamaian amp senang bergaul,mon,sep,30,19:02:06,+0000,2013,,id,370,284
ne dt v. wilfork has torn achilles tendon. loss of idp dt1 huge blow for pats defense. httpst.corglozsehqd fantasyfootball,mon,sep,30,19:02:06,+0000,2013,fantasy sharks idp war room,en,2178,1964
jenifferfons porfa sigue a --gt hetorlavoe excelente cuenta algo para reir y diferente en tu tl. gracias,mon,sep,30,19:02:06,+0000,2013,cali,es,1741,1821
rt itsnova_ qu? vacio dejan las series o libros que nos gustan cuando acaban ?eh,mon,sep,30,19:02:06,+0000,2013,sevilla. (ojal? madrid),es,1662,719
and bloodhounds ii cyrusthavirus yhu got murked on ur shit,mon,sep,30,19:02:06,+0000,2013,,en,0,0
google voice search in youtube is the best advertising for their services i’ve ever seen. way faster then apple dictation.,mon,sep,30,19:02:06,+0000,2013,silicon valley,en,644,586
rt ryannegri .sportscenter nfl you spelled career wrong.,mon,sep,30,19:02:06,+0000,2013,memphis tn,en,351,573
rt w888f               .,mon,sep,30,19:02:06,+0000,2013,   dubai ,en,414,406
rt emrgencykittens best friends httpt.covddo0stis7,mon,sep,30,19:02:06,+0000,2013,cleveland oh,en,271,507
el doble de thomas en la hrel cierre d atenas-macabila susp d bigu?-nacional y los triunfos d olimpiaaguadatabar? y sayago todo en uctv,mon,sep,30,19:02:06,+0000,2013,montevideo,es,3806,1125
mourinho storms out of chelsea press conference httpt.comp6uu84kxs,mon,sep,30,19:02:06,+0000,2013,kedai mamakk,en,7070,7689
a new favorite we do by luxurymusicuk httpt.codhwvvowyti on soundcloud,mon,sep,30,19:02:06,+0000,2013,paris,fr,110,562
sofihorr muchas lechugas las tortugas comen mucho de eso ajja,mon,sep,30,19:02:06,+0000,2013,,es,140,202
rt daniel_frutos parece que no sali hoy ( que popo,mon,sep,30,19:02:06,+0000,2013,,es,201,207
rt james_yammouni my favourite janoskian is now beau confirmed ... i will update you all if any changes occur,mon,sep,30,19:02:06,+0000,2013,,en,294,573
osea... si bangerz se vendio en australia.. puedens subir audios de las canciones grabadas.... por favor australianos haganos ese favor,mon,sep,30,19:02:06,+0000,2013,?wait for a minute?,es,2140,2219
im in a group video chat with 118 others - click to watch or join httpt.cobt4uerz3hx,mon,sep,30,19:02:06,+0000,2013,,en,2,22
kailangan ko pa bang sabihin. ,mon,sep,30,19:02:06,+0000,2013,,fil,77,65
ex-mbgn queen silvia nduka flaunts her own n1.5m chanel lego bag –? look httpt.conqcwv8ixpn,mon,sep,30,19:02:06,+0000,2013,,en,2213,0
its_dannayy for why,mon,sep,30,19:02:06,+0000,2013,,en,45,117
you need to try weight loss  for every body type httpt.cooff4ciszko,mon,sep,30,19:02:06,+0000,2013,new jersey,en,17,32
rt usm2nyaropk  httpt.coyfh1htx7sf,mon,sep,30,19:02:06,+0000,2013,,ja,87,89
bon gta ou rien  le choix et vite fais,mon,sep,30,19:02:06,+0000,2013,le mans   . naples italia,fr,157,252
ayethatwan bro ,mon,sep,30,19:02:06,+0000,2013,,en,48,51
,mon,sep,30,19:02:06,+0000,2013,the,ja,136,230
anna_ferreira85 sweetymona79 dani_reedus nanarukh saraxdixon sorry ),mon,sep,30,19:02:06,+0000,2013,,de,83,125
rt erinbarbarax more than tired of everyone and their ,mon,sep,30,19:02:06,+0000,2013,,en,238,177
rt javieruiz83 por qu? hay tanto tonto q dice q el andaluz es un castellano mal hablado s?lo demuestran q son unos incultos ignorantes,mon,sep,30,19:02:06,+0000,2013,,es,84,78
mes tweets sont cataclysmique propos incorrects appel la police dit leur quil plus d?thique j-1 avant lapocalypse 12m?,mon,sep,30,19:02:06,+0000,2013,,fr,516,514
salha141498   .  ,mon,sep,30,19:02:06,+0000,2013, ,ar,412,662
iya-_-sutopoputra kasian ya uraytarii gatau ka kebiasaan ehehsutopoputra kok bisa de ,mon,sep,30,19:02:06,+0000,2013,bandung,id,96,110
burakn adamliini sorgulamak szn ne haddnze sz kmsnz ya,mon,sep,30,19:02:06,+0000,2013,,tr,246,387
my dads gonna kill me when he sees the shit i just bought ,mon,sep,30,19:02:06,+0000,2013,,en,135,157
zelenko_ilia        .. -),mon,sep,30,19:02:06,+0000,2013,.,ru,83,51
._.,mon,sep,30,19:02:06,+0000,2013,,en,68,96
rt azusa_fukuyama baz-kamphkrampl.m.doggdont stop remix contest 881015m(_… httpt.cocy0v…,mon,sep,30,19:02:06,+0000,2013,okayama japan,ja,476,284
pchnsolene merci solene ),mon,sep,30,19:02:06,+0000,2013,,fr,178,170
porliniers el hedonismo es atrevido.,mon,sep,30,19:02:06,+0000,2013,miraflores lima per?.,es,62,253
suicideiife my smiles turn into tearswhen no one is looking i just dont smile anymore,mon,sep,30,19:02:06,+0000,2013,under your bed,en,1545,1857
left handed callaway golf razr x black driver 9.5? graphite stiff httpt.confbcjfc5fp golf,mon,sep,30,19:02:06,+0000,2013,,en,3,50
                          ,mon,sep,30,19:02:06,+0000,2013,sahil,ar,2382,1789
if your a single mum of 26 with 5 children dont randomly message me for a date you fucking scroat,mon,sep,30,19:02:06,+0000,2013,manchester ,en,254,291
(-_-),mon,sep,30,19:02:06,+0000,2013,,ja,32,33
que pendejo divino,mon,sep,30,19:02:06,+0000,2013,,es,138,96
why am i watching mickey mouse clubhouse,mon,sep,30,19:02:06,+0000,2013,w3td3  wh3r3 m tat0n3d,en,152,318
rt unrevealedfacts in 1979 a 16-year-old girl shot 11 people at a california elementary school. her excuse was i dont like mondays.,mon,sep,30,19:02:06,+0000,2013,hakuna matata.(london),en,298,979
“trendssthafrica generationsnewlook is now trending in south africa httpt.cog7nat1vezp” they just cant get it right,mon,sep,30,19:02:06,+0000,2013,johannesburg,en,259,379
rt bethrice97 monamoloko cant wait for made in chelsea to come back on its been too long mondayyy,mon,sep,30,19:02:06,+0000,2013,,en,268,241
there is no better feeling then opening the cabinet and finding double stuff oreos ,mon,sep,30,19:02:06,+0000,2013,,en,191,329
eat_mysteez no lol,mon,sep,30,19:02:06,+0000,2013,,en,894,684
         ..  httpt.con9hwy72smr ___,mon,sep,30,19:02:06,+0000,2013,,ar,29,40
bu meb iyice kudurdu yarnda okul varm amk.,mon,sep,30,19:02:06,+0000,2013,,tr,136,71
walked into aa today turned in my keys and still got asked by a customer where r the bowties. lol,mon,sep,30,19:02:06,+0000,2013,crystal tokyo,en,111,164
smart phones may hold retails golden marketing chip httpt.cossxvczwggu,mon,sep,30,19:02:06,+0000,2013,,en,548,45
rt wey_pulesiitoo koriinafrekaa pablicotize1 pero eres tu qqe ta diciendo cosa no nosotros,mon,sep,30,19:02:06,+0000,2013,,es,317,140
brucardooso  to santo kaka,mon,sep,30,19:02:06,+0000,2013,[rdc] ,pt,1390,658
odebconuee demoente para edificios nuevos a partir de qu? fecha existe alguna penalidad por no cumplir,mon,sep,30,19:02:06,+0000,2013,m?xico df,es,164,303
yo esto lo pienso muchoooo,mon,sep,30,19:02:06,+0000,2013,leon,es,228,280
rt 5secsofdahcraic rt for a indirect free bc im happy )but i follow yu back xx,mon,sep,30,19:02:06,+0000,2013,justinsheart-myidolistoohot,en,5289,4807
                ?    ?,mon,sep,30,19:02:06,+0000,2013,,ar,6072,2241
anamartceb te quiero,mon,sep,30,19:02:06,+0000,2013,,es,456,230
rt steven_win happy 21st to my homie got2_bmoore,mon,sep,30,19:02:06,+0000,2013,wichita state sophomore,en,424,313
rt ernestoprado gobernador coahuila rubenmoreiravdz recorrido con beneficiarios viesca  200obras1d?a marcelokirino httpt.cogvwx…,mon,sep,30,19:02:06,+0000,2013,,es,588,340
