Name,Type,Latitude,Longitude,City,Country
the gorbals barbershop,salon  barbershop,55.847879354879545,-4.2417097091674805,glasgow,united kingdom
claire  brians,home private,55.84617638569836,-4.241774407702005,,united kingdom
head office,,55.847958,-4.240036,,united kingdom
hot spot,fast food restaurant,55.84730423333334,-4.23880266,glasgow,united kingdom
kings bridge,road,55.847142266570614,-4.238051438949538,,united kingdom
new gaff.,home private,55.84668212005396,-4.227071951219966,glasgow,united kingdom
crimson star,bar,55.847711,-4.231013,,united kingdom
james street,road,55.8475243984377,-4.231842874593934,,united kingdom
pts,hardware store,55.84800632,-4.28195215,,united kingdom
bss,office,55.848234,-4.281875,kinning park,united kingdom
smurfit kappa,,55.84855798312984,-4.279515424275138,glasgow,united kingdom
ftdi chip,building,55.848446193023086,-4.277463544526991,,united kingdom
foster wheeler,office,55.84877333671589,-4.277463928042254,glasgow,united kingdom
key portfolio,office,55.848192553936435,-4.276599884033203,glasgow,united kingdom
baxter house,office,55.848092,-4.276254,,united kingdom
hyundai,car dealership,55.84815216064453,-4.275623321533203,glasgow,united kingdom
murray chrysler,automotive shop,55.848216819847636,-4.275850774319501,,united kingdom
june brides,bridal shop,55.84837792456908,-4.260687024670452,,united kingdom
commonwealth house,event space,55.84842011952737,-4.26104044610468,glasgow,united kingdom
g5 9de,home private,55.845668788985996,-4.256479651168762,glasgow,united kingdom
hannah autosound,automotive shop,55.848365836557406,-4.258011482736837,glasgow,united kingdom
brazen heid,bar,55.847983,-4.254533,,united kingdom
sizzlers,indian restaurant,55.848394396939575,-4.254294120531323,,united kingdom
mommas house,home private,55.845668788985996,-4.256479651168762,,united kingdom
the co-operative food,grocery store,55.848794852721646,-4.251279830932617,glasgow,united kingdom
boots,drugstore  pharmacy,55.84826483028346,-4.251236915588379,glasgow,united kingdom
anns fry,fast food restaurant,55.84858555327928,-4.25069728325563,glasgow,united kingdom
laurens place,home private,55.845668788985996,-4.256479651168762,glasgow,united kingdom
the flat,home private,55.845668788985996,-4.256479651168762,glasgow,united kingdom
gs fish and chips,fish  chips shop,55.84884262084961,-4.250625133514404,glasgow,united kingdom
gorbals health centre,doctors office,55.84851943008622,-4.248564679143446,gorbals,united kingdom
g5 deli,caf,55.84878391713706,-4.248309818831874,,united kingdom
gorbals social work,conference room,55.84881663322449,-4.247374534606934,glasgow,united kingdom
southbank child development centre,,55.848564634407744,-4.246462439234141,glasgow,united kingdom
kristuc humpy,residential building apartment  condo,55.848417,-4.246736,glasgow,united kingdom
new gorbals residence,home private,55.84617638569836,-4.241774407702005,glasgow,united kingdom
nisa extra,food  drink shop,55.848361952662536,-4.242711745735155,,united kingdom
bells taxi insurance,office,55.84810823136168,-4.2418599128723145,glasgow,united kingdom
st andrews suspension bridge,bridge,55.848794852721646,-4.238491058349609,glasgow,united kingdom
university of glasgow boat house,college  university,55.848250184191684,-4.237224665511795,glasgow city,united kingdom
joannes apartment,home private,55.84617638569836,-4.241774407702005,glasgow,united kingdom
embody integrated health clinic,spa  massage,55.848760388019265,-4.232560103442259,glasgow,united kingdom
my house,home private,55.84668212005396,-4.227071951219966,glasgow,united kingdom
mcphail st 36,home private,55.84668212005396,-4.227071951219966,,united kingdom
poppyscotland,non-profit,55.849216,-4.285915,kinning park,united kingdom
m80 junction 22,road,55.84950756473932,-4.283499775481814,,united kingdom
headhunter studios,music venue,55.84976849203671,-4.281005904235021,glasgow,united kingdom
grahams,office,55.84899,-4.277976,,united kingdom
wsp glasgow office,office,55.849342346191406,-4.276871204376221,,united kingdom
arnold clark - hyundaichryslerjeep,automotive shop,55.849007559231005,-4.275963586152513,glasgow,united kingdom
capi leroy  mchamsters drinking den,,55.849721,-4.275074,glasgow,united kingdom
scotland street school museum,museum,55.84967419218725,-4.273788928985596,glasgow,united kingdom
richmonds plumbing  heating merchants,furniture  home store,55.8497248486555,-4.271917741555691,,united kingdom
j. thomson colour print,paper  office supplies store,55.84942710782283,-4.270142250873891,glasgow,united kingdom
bubbles,car wash,55.849611,-4.268754,,united kingdom
west street subway station,subway,55.84958987282691,-4.2658281326293945,glasgow,united kingdom
duncan yacht chandlers,hardware store,55.84967400711022,-4.266795783109067,glasgow,united kingdom
first bus - 38,bus line,55.84966354220953,-4.261107564890026,glasgow,united kingdom
the unit,historic site,55.849205330829726,-4.260841378434462,glasgow,united kingdom
the barn,event space,55.848873,-4.257701,,united kingdom
gorbals mot,automotive shop,55.84905270155995,-4.253450778722875,,united kingdom
bus stop 60902508,bus line,55.84969711303711,-4.25402307510376,,united kingdom
number 20 bus,bus line,55.849584583193064,-4.253926081582904,rutherglen,united kingdom
first glasgow - larkfield depot,bus station,55.84936641774892,-4.251686255411255,,united kingdom
gorbals library and real learning centre,college library,55.84913213596455,-4.250807762145996,glasgow,united kingdom
gorbals post office,post office,55.84975851136464,-4.2496490478515625,gorbals,united kingdom
gorbals convienence store,convenience store,55.849344,-4.250258,glasgow,united kingdom
smelly boys flat,home private,55.84617638569836,-4.241774407702005,,united kingdom
gorbals recycles - bicycle worksop,,55.8490866981447,-4.24409151077271,glasgow,united kingdom
tatees place,home private,55.84617638569836,-4.241774407702005,,united kingdom
,vineyard,55.8495086,-4.2419356,,united kingdom
glasgow green play centre,playground,55.849309730054564,-4.233834737345418,,united kingdom
verde building,building,55.84951667892348,-4.233063931229353,glasgow,united kingdom
fortress of solitude - glasgow branch,home private,55.84668212005396,-4.227071951219966,,united kingdom
arcadia street,road,55.849729425843464,-4.23174893558841,glasgow,united kingdom
