Text,WeekDay,Month,Day,Time,#NAME?,Year,Location,Language,Followerscount,Friendscount
jfilosa cest qui le no1  st-louis ,mon,sep,2,19:02:02,0,2013,rive-sud de montral,en,23,523
gabrielaisa29 noo,mon,sep,2,19:02:02,0,2013,,es,167,201
rt 1dliveupdates soft louis in perth aw httptcoroyx5u1tnb,mon,sep,2,19:02:02,0,2013,,en,33,125
no electricity and im on one bar ,mon,sep,2,19:02:02,0,2013,south africa || swaziland,en,1084,626
rt thetumblrposts have you ever wondered this httptcopobssjcp0u,mon,sep,2,19:02:02,0,2013,,en,25,73
rt idekdemetria rt for an indirect,mon,sep,2,19:02:02,0,2013,,tr,6602,4294
you just think that i’m full of it we both come from backgrounds of bullshit i’m fortunate that aint what you see in me,mon,sep,2,19:02:02,0,2013,kansas city missouri,en,376,343
rt turkishjcat unionj9191 what a nice acc  lots of loves ,mon,sep,2,19:02:02,0,2013,,en,135,331
some kid at my school got suspended bc he was wearing a shirt that said beach dont kill my vibe lmao  you,mon,sep,2,19:02:02,0,2013,,en,270,136
rterdogan ubatta5binnglzceatamastiyoruz,mon,sep,2,19:02:02,0,2013,,tr,11,122
onlyforthem normal tu va me voir lt3,mon,sep,2,19:02:02,0,2013,,fr,69,133
rt dellialshallah                         …,mon,sep,30,19:02:02,0,2013,,en,1291,95
 ii  httptcojpumeb7vv7,mon,sep,2,19:02:02,0,2013,,ja,330,0
rt skinyyyy 3 more mins ,mon,sep,23,19:02:02,0,2013,,en,264,215
httptco9cj1psymzu  123 flash menu 4 1 5 1400,mon,sep,3,19:02:02,0,2013,,en,4,1
rt rosac123 genpenaloza doble nacionalidad de maduro cobra fuerza en la fanb veo pocos lderes apoyando denuncia waltermarquez+hcapr…,mon,sep,3,19:02:02,0,2013,venezuela ,es,1334,2005
rt adamin85 okej offside men lindgrenortiz det dr var vl en idiot-rddning av stam killensomintegrsdanaenligtoscari08fotboll,mon,sep,3,19:02:02,0,2013,estocolmo,sv,880,94
ses comme quand jete,mon,sep,3,19:02:02,0,2013,,fr,1,19
fall is a good time to fall back into fitness  httptcopnnmxxaoiw httptcoq5u9971mco,mon,sep,3,19:02:02,0,2013,,en,11,0
today stats one follower one unfollower via httptcoot8vsmmvzz,mon,sep,3,19:02:02,0,2013,,en,254,208
niai07  that faggot,mon,sep,3,19:02:02,0,2013,,en,68,157
ronq      ,mon,sep,3,19:02:02,0,2013,,ar,58,44
stalkeamos ,mon,sep,3,19:02:02,0,2013,                rosario,es,525,485
rt amormalahe ella se fue esperando que l la detuviera y l la dejo ir esperando que ella regresara,mon,sep,3,19:02:02,0,2013,sevilla espaa,es,319,263
 930 405  6 -9 countkun kaimeim,mon,sep,3,19:02:02,0,2013,tutya,ja,55,102
rt drralklaam                   -  ,mon,sep,4,19:02:02,0,2013,,en,339,353
farizafandemp merci beaucoup bisous ,mon,sep,4,19:02:02,0,2013,,fr,269,251
